nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,senha,cep,endereco,numero,bairro,cidade,estado,telefone_fixo,celular,altura,peso,tipo_sanguineo,cor
Mariane Sophia Heloisa Dias,65,133.410.724-62,45.824.495-8,21/12/1956,Feminino,Sagitário,Mirella Alícia,Alexandre André Dias,marianesophiaheloisadias..marianesophiaheloisadias@dedicasa.com.br,cstwI314FQ,69077-510,Rua Preste João,499,Japiim,Manaus,AM,(92) 2794-4865,(92) 99411-0953,"1,59",63,AB+,preto
Anthony Igor Nogueira,35,184.295.159-92,35.281.649-1,11/01/1986,Masculino,Capricórnio,Ayla Cristiane,Geraldo Diego Nogueira,anthonyigornogueira_@ppe.ufrj.br,6XLZlL8wu2,58037-285,Praça José Tomás de Souza,482,Jardim Oceania,João Pessoa,PB,(83) 3636-5052,(83) 99936-2823,"1,66",84,O+,laranja
Levi Leonardo Luís da Luz,68,851.124.047-01,49.862.970-3,02/03/1953,Masculino,Peixes,Andreia Elza Luiza,Oliver Tomás da Luz,levileonardoluisdaluz__levileonardoluisdaluz@technicolor.com,y2mAE0ZFTL,65900-410,Rua Urbano Santos,528,Centro,Imperatriz,MA,(98) 2629-2697,(98) 98484-2501,"1,96",83,B-,azul
Rosa Esther Nunes,76,706.648.159-36,49.388.560-2,08/06/1945,Feminino,Gêmeos,Alice Laura Sophia,Joaquim Fábio Davi Nunes,rosaesthernunes_@marcofaria.com,eiGGJk6TF2,24720-350,Rua Iara,513,Laranjal,São Gonçalo,RJ,(21) 2657-5597,(21) 98607-5270,"1,70",45,B+,roxo
Sophia Jéssica Rafaela Brito,48,901.086.367-04,43.224.817-1,10/05/1973,Feminino,Touro,Nina Esther Fátima,Rodrigo Lucas Otávio Brito,sophiajessicarafaelabrito..sophiajessicarafaelabrito@lognat.com.br,HJjNLc1gHj,77805-170,Rua Sargento Edson Soares de Abreu,451,Setor Belo Horizonte,Araguaína,TO,(63) 2974-7991,(63) 98909-4614,"1,52",56,B+,roxo
Lucca Levi Alves,45,172.166.781-41,15.161.140-3,14/07/1976,Masculino,Câncer,Stella Lara,Giovanni Mateus Alves,luccalevialves__luccalevialves@way2goidiomas.com.br,frjHdYNXW4,72023-405,Conjunto SMT Conjunto 1,714,Taguatinga Sul (Taguatinga),Brasília,DF,(61) 2706-9337,(61) 98704-2359,"1,78",106,AB+,vermelho
Raimundo Alexandre Iago Rezende,32,700.742.001-00,34.711.731-4,25/03/1989,Masculino,Áries,Carolina Fátima,Lorenzo Victor Henrique Rezende,raimundoalexandreiagorezende__raimundoalexandreiagorezende@projetti.com,XaAYMdmSex,49065-110,Rua Aracajuzinho,271,Industrial,Aracaju,SE,(79) 2954-8099,(79) 99226-4169,"1,82",50,AB-,laranja
Raimunda Amanda da Cunha,78,362.527.696-81,12.388.709-4,05/07/1943,Feminino,Câncer,Camila Antônia,Anderson Emanuel Thiago da Cunha,raimundaamandadacunha_@eletroaquila.net,Qz5jYNRFK9,68553-300,Avenida Perimetral,641,Vale da Serra,Redenção,PA,(94) 2596-8884,(94) 98300-2142,"1,51",65,AB+,amarelo
Marcela Fabiana Adriana Castro,22,037.039.282-55,31.654.172-2,02/06/1999,Feminino,Gêmeos,Nina Isabelly Sueli,Matheus Nicolas Castro,marcelafabianaadrianacastro..marcelafabianaadrianacastro@elconsultoria.com.br,8OmrS9ohz4,24310-190,Rua Jardel Filho,137,Maceió,Niterói,RJ,(21) 2615-3210,(21) 99396-3522,"1,82",72,A-,vermelho
Manuela Daiane Cavalcanti,59,984.948.461-67,27.931.797-9,06/03/1962,Feminino,Peixes,Fabiana Bruna,Osvaldo Bento Cauê Cavalcanti,manueladaianecavalcanti_@ceuazul.ind.br,fXEASh3uOD,91440-370,Beco M,313,Jardim Carvalho,Porto Alegre,RS,(51) 3976-7818,(51) 99625-2342,"1,83",86,B+,preto
Raimundo Marcelo Assunção,30,600.953.295-79,41.318.610-6,14/12/1991,Masculino,Sagitário,Regina Sophie Isabelle,Elias Ryan Assunção,raimundomarceloassuncao__raimundomarceloassuncao@effem.com,2jM3etLtps,69095-612,Rua Tupaiú,665,Cidade Nova,Manaus,AM,(92) 2833-7555,(92) 99920-1492,"1,61",102,B+,verde
Esther Marcela Rebeca Santos,18,254.456.948-44,43.064.046-8,02/05/2003,Feminino,Touro,Marina Vanessa Aurora,Rafael Ian Pedro Henrique Santos,esthermarcelarebecasantos..esthermarcelarebecasantos@indaiamidias.com.br,z1LRSw4OQt,49095-030,Rua Antônio Alves Aragão,604,Jabotiana,Aracaju,SE,(79) 3934-6849,(79) 98140-0366,"1,71",74,O+,preto
Brenda Manuela Drumond,31,315.716.172-56,49.632.483-4,07/08/1990,Feminino,Leão,Esther Sarah Vanessa,Filipe Emanuel Antonio Drumond,brendamanueladrumond..brendamanueladrumond@vectrausinagem.com.br,xXHTIO6RAN,53180-360,Rua Manganês,944,Águas Compridas,Olinda,PE,(81) 2515-9287,(81) 98827-9300,"1,50",60,AB+,amarelo
Fátima Aline Benedita Campos,66,301.571.981-54,38.207.286-8,06/05/1955,Feminino,Touro,Malu Rosa Stella,Tiago Fábio Campos,fatimaalinebeneditacampos__fatimaalinebeneditacampos@imobiliariamaciel.com.br,sAj3lWCfLM,14801-165,Avenida Barroso,415,Vila Santana,Araraquara,SP,(16) 3965-1818,(16) 98780-5365,"1,50",72,A-,roxo
Manuel Carlos Diogo Aragão,42,640.703.451-59,29.125.005-1,26/03/1979,Masculino,Áries,Allana Rafaela Marli,Calebe Henry Aragão,manuelcarlosdiogoaragao-76@likaleal.com.br,sMhw9iJdGQ,25085-270,Rua Cardeal Arcoverde,536,Parque Beira Mar,Duque de Caxias,RJ,(21) 2762-7070,(21) 99712-3550,"1,71",70,A+,verde
Isabela Patrícia Cecília Moura,42,430.654.104-51,36.305.573-3,15/02/1979,Feminino,Aquário,Tatiane Elaine Giovanna,Vinicius Ryan Joaquim Moura,isabelapatriciaceciliamoura__isabelapatriciaceciliamoura@yaooh.com,m4YBCee4yf,76909-818,Rua Maringá,798,Nossa Senhora de Fátima,Ji-Paraná,RO,(69) 3578-3766,(69) 98128-4528,"1,67",64,B+,vermelho
